0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0	0	0	0	0	3.9	200.5	287.7	0	0	0	1520	0	1878.6	0
2	0	0	43.9	0	0	0	0	0	144.2	0	0	0	0	0	0
3	0	43.9	0	0	0	0	65.4	0	0	0	0	0	2338.1	0	0
4	0	0	0	0	312.9	56.8	0	0	0	0	0	0	0	0	1564.7
5	0	0	0	312.9	0	0	0	349.3	0	0	0	1478.7	0	0	0
6	3.9	0	0	56.8	0	0	185.3	0	0	0	0	0	0	1568.5	0
7	200.5	0	65.4	0	0	185.3	0	0	0	0	0	0	0	1679.2	0
8	287.7	0	0	0	349.3	0	0	0	164.2	0	0	1823.4	0	0	0
9	0	144.2	0	0	0	0	0	164.2	0	0	0	0	0	0	1078.3
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	705.7	3407.2	2757.3	0
12	1520	0	0	0	1478.7	0	0	1823.4	0	0	705.7	0	0	0	0
13	0	0	2388.1	0	0	0	0	0	0	0	3407.2	0	0	0	3711.2
14	1878.6	0	0	0	0	1568.5	1679.2	0	0	0	2757.3	0	0	0	0
15	0	0	0	1564.7	0	0	0	0	1078.3	0	0	0	3711.2	0	0
