NN	DEC	HEX	CHAR	COUNT	%
1	39	27	'	2952	18.239%
2	181	B5	µ	1385	8.557%
3	167	A7	ß	969	5.987%
4	175	AF	Ø	893	5.517%
5	172	AC	¨	856	5.289%
6	180	B4	¥	738	4.560%
7	233	E9	È	655	4.047%
8	232	E8	Ë	628	3.880%
9	178	B2	≤	622	3.843%
10	169	A9	©	565	3.491%
11	231	E7	Á	541	3.343%
12	177	B1	±	470	2.904%
13	171	AB	´	389	2.403%
14	179	B3	≥	384	2.373%
15	182	B6	∂	337	2.082%
16	234	EA	Í	316	1.952%
17	10	0A	\n	243	1.501%
18	13	0D	\r	243	1.501%
19	242	F2	Ú	241	1.489%
20	51	33	3	238	1.470%
21	170	AA	™	224	1.384%
22	243	F3	Û	211	1.304%
23	52	34	4	193	1.192%
24	168	A8	®	190	1.174%
25	176	B0	∞	187	1.155%
26	246	F6	ˆ	185	1.143%
27	174	AE	Æ	183	1.131%
28	53	35	5	158	0.976%
29	238	EE	Ó	145	0.896%
30	236	EC	Ï	117	0.723%
31	239	EF	Ô	104	0.643%
32	173	AD	≠	82	0.507%
33	245	F5	ı	79	0.488%
34	240	F0		47	0.290%
35	244	F4	Ù	43	0.266%
36	150	96	ñ	41	0.253%
37	237	ED	Ì	39	0.241%
38	40	28	(	34	0.210%
39	152	98	ò	24	0.148%
40	41	29	)	22	0.136%
41	137	89	â	21	0.130%
42	145	91	ë	21	0.130%
43	148	94	î	18	0.111%
44	70	46	F	14	0.086%
45	147	93	ì	14	0.086%
46	135	87	á	13	0.080%
47	235	EB	Î	13	0.080%
48	139	8B	ã	10	0.062%
49	149	95	ï	10	0.062%
50	151	97	ó	9	0.056%
51	138	8A	ä	8	0.049%
52	136	88	à	7	0.043%
53	140	8C	å	6	0.037%
54	142	8E	é	6	0.037%
55	143	8F	è	6	0.037%
56	158	9E	û	6	0.037%
57	65	41	A	5	0.031%
58	146	92	í	5	0.031%
59	153	99	ô	5	0.031%
60	154	9A	ö	3	0.019%
61	157	9D	ù	3	0.019%
62	166	A6	¶	3	0.019%
63	164	A4	§	2	0.012%
64	80	50	P	1	0.006%
65	93	5D	]	1	0.006%
66	141	8D	ç	1	0.006%
67	144	90	ê	1	0.006%
